CustEx Determinant Platform,https://angel.co/custex,Customer / Voter Crowds Improve Products & Services,156,Feb ’14
Stampery,https://angel.co/stampery,21st century notarization,99,Feb ’15
Prism Labs,https://angel.co/prism-labs,Building On-Ramps to the Frontier-tech Economy,53,Apr ’15
Open Health Network,https://angel.co/open-health-network,"Powered by AI,Big Data & Blockchain Patient Experience Management Platform",220,Mar ’13
Coinprism,https://angel.co/coinprism,Extending the Bitcoin Blockchain to be the ultimate financial platform,49,Mar ’15
Trustatom,https://angel.co/trustatom,"Next generation ""trust score""",80,Aug ’14
Chainalysis,https://angel.co/chainalysis,Building trust in blockchains.,127,Feb ’15
Cambridge Blockchain,https://angel.co/cambridge-blockchain,,50,Sep ’15
Lightning Labs,https://angel.co/lightning,We scale blockchains.,228,Mar ’16
Shopin,https://angel.co/passo,Shopping just got personal,67,Jan ’13
Metal,https://angel.co/metalpaysme,Changing the way we view money,83,Apr ’17
Footprint,https://angel.co/footprintlabs,Tools to help power public blockchains,98,Nov ’15
ZapChain,https://angel.co/zapchain,Communities powered by microtransactions.,67,Oct ’14
Sia,https://angel.co/siatechhq,Decentralized cloud storage secured by blockchain technology,46,Dec ’16
Finhaven,https://angel.co/finhaven,Building a blockchain powered securities exchange,50,Mar ’17
Factom,https://angel.co/factom-for-profit,Bringing The Blockchain To Business,120,Jun ’15
cPay,https://angel.co/cpay,Pre ICO Decentralized Payments: eDollars (Digital USD) + Blockchain + 97% Bank Integration,55,Oct ’13
StartupYard,https://angel.co/startupyard,StartupYard is a seed accelerator for technology startups,213,May ’12
MEGO,https://angel.co/megogames,Research and development for the virtual worlds of the future,31,Apr ’15
Digital Asset,https://angel.co/digital-asset,Private Blockchain for Financial Assets,67,Sep ’16
The World Table,https://angel.co/worldtable,Reputation on the blockchain - it's time to get real.,45,May ’15
Aion Network,https://angel.co/aion_network,The Third Generation Blockchain Network,65,Jun ’16
Augur,https://angel.co/augurproject,Decentralized oracle and prediction market platform built on Ethereum.,177,Apr ’15
BitGive,https://angel.co/bitgive-foundation,Leveraging Bitcoin and Blockchain for Nonprofits Worldwide,37,Apr ’15
Bloq,https://angel.co/bloqinc,Enterprise Grade Blockchain,129,Nov ’15
ChromaWay,https://angel.co/chromawallet,Realizing Blockchain as a platform for financial institutions,77,Sep ’14
Storm,https://angel.co/stormx,"Storm allows anyone to earn anywhere, anytime, from any device.",53,Sep ’14
Paycase,https://angel.co/paycase,Mobile-First Blockchain-Powered Remittance & Banking Platform,55,May ’16
Crypto Facilities,https://angel.co/crypto-research,Digital assets trading,19,May ’16
Flux Protocol,https://angel.co/fluxiot,The Protocol for Environmental Data Collection & Intelligence,62,Jan ’15
Parity Technologies,https://angel.co/paritytechnologies,Building the future with blockchain technology,62,Nov ’15
Honeybadgr,https://angel.co/honeybadgr,Building Teams at Bitcoin Startups,167,Mar ’14
Monax,https://angel.co/eris-industries,The Ecosystem Application Platform,50,Apr ’15
Uniquid,https://angel.co/uniquid,Distributed Identity as a Service (IDaaS) for IoT,28,Apr ’15
Balance,https://angel.co/balance-io,An interface for open finance.,58,Mar ’17
Tendermint,https://angel.co/tendermint,"Building an Internet of Blockchains, powered by Tendermint, constructed as Cosmos.",59,Sep ’15
Elemetric (Techstars '17),https://angel.co/elemetric,Elemetric is an API service for the blockchain internet.,60,Mar ’17
Consensus,https://angel.co/consensus-ai,"Consensus is the open-sourced, decentralized artificial intelligence platform",32,Apr ’17
Lawnmower,https://angel.co/lawnmower,"Bitcoin & Blockchain Investing, News & Market Data",56,Dec ’14
RSK Labs,https://angel.co/rsk-labs,Smart Contracts secured by the Bitcoin Network,29,Jul ’16
Sagewise,https://angel.co/sagewise,dispute resolution infrastructure for smart contracts,24,Jun ’17
Credit Dream,https://angel.co/credit-dream,A better loan on your phone.,17,Mar ’16
VIA,https://angel.co/solvewithvia,VIA helps energy companies across the globe realize the value of their data.,3,Sep ’18
Dev4X,https://angel.co/dev4x,Solving Grand Challenges,37,May ’14
Opolis,https://angel.co/opolis,"opportunitiy<>community. web3 identity, marketplace & employment",17,Feb ’16
Adjoint,https://angel.co/adjoint,Distributed ledger solutions for modern finance,56,Nov ’16
Blockstack.io,https://angel.co/blockstack-io,"Enterprise Blockchain Platform, acquired by http://digitalasset.com",26,Jun ’15
Autonomyx,https://angel.co/autonomyx,Incubator for companies doing ICOs,27,Nov ’16
Gitcoin,https://angel.co/gitcoin,Push Open Source Forward,54,Jul ’17
VChain Technology,https://angel.co/vchain-technology,Aviation security SaaS,37,Mar ’16
DappHub (formerly NexusDev),https://angel.co/nexusdev,Decentralized applications R&D firm specializing in the Ethereum technology stack,18,Jan ’16
Warm.ly,https://angel.co/warm-ly,Warm.ly is creating the behavior economy,41,Aug ’13
Crowdz,https://angel.co/crowdz,The invoice exchange for accelerating cash flow,36,Jan ’16
BitNexo,https://angel.co/bitnexo,"Cross-border B2B Payments using Blockchain, Emerging Markets",55,Jan ’15
Vetty,https://angel.co/vetty,Next-gen identity and background verification platform - utilizing blockchain,28,Dec ’15
